user,priority
pavan_dhakad_sarvaniya,1.0
pavan_desai_99,1.0
pavan.laxkar,1.0
pavan.beragi.50,1.0
official_shehzada_udr,1.0
official_singh_kitawatdinu7773,1.0
paulwigintonphotography,1.0
official_suniljat_247,1.0
official_viki_chouhan,1.0
pauleypaul,1.0
patidar_bantu,1.0
patidar__nayan,1.0
patidar.vikas01,1.0
patid9,1.0
pathvirajsinghranawat,1.0
official_villager_king_09,1.0
patelvnu,1.0
official_vir_banna7773,1.0
official_roshnitandon,1.0
pavan_suwaniya,1.0
pavanjat46,1.0
pawan756875,1.0
pawan_kumawat_official_1101,1.0
official_nathawat_7773,1.0
pawan_gurjar_mangrol,1.0
pawan_dhaker_nsg,1.0
pawan_bamboriya,1.0
pawan_agiwal,1.0
official_nitesh_vyas,1.0
official_pareek459,1.0
pawan__menariya,1.0
pawan__godara__,1.0
pawan.pk656,1.0
official_ranawat_7773,1.0
official_pawan_gayari,1.0
official_piyush1212,1.0
official_r.vyash200,1.0
pawan.maheshw,1.0
pavi_prajapat,1.0
pavanvaishnav11,1.0
pavanteli7396,1.0
pavansingoliya_14,1.0
official_raj_sachin,1.0
official_rajnandan,1.0
patelsuraj43,1.0
patelrajesh9680,1.0
official_yadavji_09,1.0
parmaryash9931,1.0
parth01mehta,1.0
ohp850,1.0
parth.sharda,1.0
oldschoolwhiskey,1.0
oljalja_s,1.0
om_banna_lover_,1.0
parteekrajawat,1.0
parov_mlf,1.0
parmeshdhakar,1.0
om_jeet_om_jeet_2668,1.0
parmar_ujjawal007,1.0
parth_drawar_1999,1.0
parkash.sharma.777,1.0
parishi.s,1.0
parikshit_rajchouhan,1.0
om_singh_chouhan_thi.kothariya,1.0
omiddashti6,1.0
omparkeshgadri,1.0
parikshit._.lalpura18,1.0
parihar_deependra_,1.0
pari_collection_bijainagar,1.0
parhaladdhakar,1.0
parth______________patel,1.0
parth_siroya_1938,1.0
patelnarayan_7239,1.0
patel__hitesh94,1.0
official_yogesh_suthar,1.0
patelmr_p,1.0
patel_vimsa_dhakad,1.0
patel_sa_5556,1.0
officialaccountraju,1.0
officialjeets,1.0
patel_pawan_dhaker,1.0
patel_pankaj06,1.0
officialkdudaipurse,1.0
patel_chittorgarh,1.0
officialmannu33,1.0
parvat__0751,1.0
officialpradhyuman99,1.0
patel.kc20,1.0
patel.dsp,1.0
officialram_dhaker,1.0
officialshaitansinghmandak,1.0
parvinderparjaptigola,1.0
parvin__o59,1.0
parvendraprajapat,1.0
officsalchandanbairwa,1.0
parveen_.s,1.0
paras_gurjar_0786_amet_,1.0
