user,priority
ritvikjain6565,1.0
ritusa_2426,1.0
riturajsinghsarangdevot,1.0
riturajpaul18,1.0
ritu_soubamm,1.0
ritu_rathore2000,1.0
rittickpanja,1.0
ritsabaman,1.0
ritsa_mewar___bhinder,1.0
ritin_1998,1.0
ritiksuthar4520,1.0
ritikshrimal_21,1.0
ritiksenrajkhwas,1.0
ritiklot,1.0
ritikdak15,1.0
ritikahir403,1.0
ritika1656,1.0
rj06__vikramsingh__25,1.0
rj27_wala_meghwanshy,1.0
rk_nawab_khan_mlsu,1.0
rj_09_lover_offical,1.0
rk_gawariya_143,1.0
rk___swarnakar9872,1.0
rk_____kavish,1.0
rk8315,1.0
rk.gahlot143,1.0
rk._mandawaria,1.0
rjt___upadhyay,1.0
rjsiyal93,1.0
rjrahulmehta,1.0
rjfernndz,1.0
rjchoudhary4535,1.0
rjbohra_rahuljn_rj,1.0
rj_vikas_mavlii,1.0
rj_sa_menariya,1.0
rj_photography03,1.0
rj__tapi_gat,1.0
rj_____patel___1,1.0
rj_35_sunny_bawa,1.0
rj_35_aala_zamidaar_35,1.0
rj_27_sandeep_6559,1.0
rj_09_vins,1.0
rj_09_official_shantilaldkd,1.0
rj_09_official_lalit,1.0
rj_09_nk_official,1.0
rj_09_luckey,1.0
ruhijain302,1.0
s.rajsingh.sarpanch4949,1.0
runa_hjerrild,1.0
satyendradip,1.0
satyaprakash6508,1.0
satyaprakash.xav,1.0
satyapal_singh_sisodiya_,1.0
satyanarayanjat0432,1.0
satyamjangid1,1.0
satyam.dhakad,1.0
satyam.bjp,1.0
saty5490,1.0
satu_choudhary_2133,1.0
satu___rana,1.0
sattu_thanna_777,1.0
sattu_patel95,1.0
sattu.beer,1.0
satpal_singh.chouhan.bantybana,1.0
satishmeena8581,1.0
satishkumarsharma274,1.0
satish_rathod.official,1.0
satish_meghwal_,1.0
satish_choudhary_mlsu_,1.0
satish_bhagora_ucos,1.0
satendra9055,1.0
sateesh_mewara,1.0
sashankmali07,1.0
sarvansingh_udawat,1.0
sarup_dewasi,1.0
saru_banna_7773,1.0
sarthik_choubisa,1.0
satyendra_mlsu,1.0
satynarayan_dhabhai_ii,1.0
sarpanch_pravee,1.0
satypalsingh.satypalsingh.792,1.0
sellu_suthar,1.0
selenagomez,1.0
sel.137,1.0
sejalsen11,1.0
sejal_tanwar_,1.0
sejal_sachdev_,1.0
sejal_rajpurohit65_,1.0
sejal.chandaliya,1.0
sehjaljain,1.0
seemanathawat7773,1.0
sdmdhakar,1.0
sdheeraj304,1.0
sbeeventsudaipur,1.0
sayyed_arham_ali_,1.0
sayed_prince07,1.0
sayar.sayar.54390876,1.0
sawanpatel82,1.0
sawai_singh_habur2,1.0
sawai_rajpurohit_jnvu,1.0
savan_patidar_687_,1.0
savai_sisodiya,1.0
saurbh_jadhav_77,1.0
saurav.joshi.75839,1.0
saurabhsamdani4,1.0
saud_team_07,1.0
sau9034,1.0
satyveer_singh_rajawat,1.0
sarthakdevpura,1.0
sarmaadarsh,1.0
sen__boys_singl_choro,1.0
sanyamjain34,1.0
sanwariya_gadri,1.0
sanudhakar__,1.0
sanu_dhaker,1.0
santy_boy_sd.90,1.0
santoshprajapat84,1.0
santoshgayri92,1.0
santosh_yadav_5683,1.0
santosh_sival_2,1.0
santimaratha,1.0
sanskari_khushal,1.0
sanskar_jain_09,1.0
sanskar.18,1.0
sanskaaaar,1.0
sansh_parmar,1.0
sanmozart_musics,1.0
sankvali,1.0
sanku_gayari,1.0
sanketagrawal_ucos,1.0
sanket_6181_,1.0
sanjugavari,1.0
sanjudhakd,1.0
sanjubaba199o,1.0
sanju_dkr_1433,1.0
sanju_das_5331,1.0
sanju_baba_14u,1.0
sanju7676,1.0
sanju.patel.5648137,1.0
sanwariyadilkush,1.0
sanzu_dkd_0143,1.0
sarkar_7725,1.0
sapna.kumawat.73700,1.0
saritadhakad28,1.0
sarita_suthar27,1.0
sarita_kumawat_15,1.0
sarita.6022,1.0
sarieliberty,1.0
sargarareena,1.0
sargaranaresh,1.0
sarfaraz.siddique.5011,1.0
sarfaraj.s.397,1.0
saraswati.bagh.946517,1.0
saraswat1980,1.0
saraswat.gourav,1.0
saransohanlal,1.0
saransh_sancheti,1.0
sarangdevotdevendrasingh,1.0
sarangdevot_viky_13,1.0
sarangdevot_gaju,1.0
sarangdevot_baeisa96,1.0
sarangdevot33,1.0
sarajul61,1.0
saraalikhan95,1.0
sar.boot,1.0
saqib1565,1.0
sappu_kiloriya,1.0
sapnastudiobhilwara,1.0
sapnapatel______,1.0
sapnadangi75,1.0
sen8518,1.0
sen_boy_______,1.0
rup_gorna__,1.0
shamusuthar,1.0
shambhusingh.rawat.54,1.0
shambhulalkhandelwal,1.0
shambhu_jadva,1.0
shambhu_garasiya,1.0
shambhu3446,1.0
shambhu.lal.58173,1.0
shambhavi______pareek,1.0
shalusharma.24,1.0
shalumehta1003,1.0
shaludevi56,1.0
shalni_v,1.0
shalinisisodia16,1.0
shalinimenaria07,1.0
shalinijhala97,1.0
shalesh_thakor,1.0
shalendrateli,1.0
shaleen___2306__,1.0
shaku.janwa,1.0
shaktisingh_chauhann,1.0
shaktisingh9999,1.0
shaktisingh6422,1.0
shaktisingh.chundawat.9699,1.0
